LocationID,Zone,LatLong
155,Marine Park/Mill Basin,"(40.6096768, -73.9114293)"
156,Mariners Harbor,"(40.63677010000001, -74.1587547)"
157,Maspeth,"(40.7294018, -73.9065883)"
158,Meatpacking/West Village West,"(40.7409865, -74.0076108)"
159,Melrose South,"(40.824545, -73.9104143)"
160,Middle Village,"(40.717372, -73.87425)"
161,Midtown Center,"(40.7314658, -73.9970956)"
162,Midtown East,"(40.7571432, -73.9718815)"
163,Midtown North,"(40.7649516, -73.9851039)"
164,Midtown South,"(40.7521795, -73.9875438)"
165,Midwood,"(40.6204388, -73.95997779999999)"
166,Morningside Heights,"(40.8105443, -73.9620581)"
167,Morrisania/Melrose,"(40.824545, -73.9104143)"
168,Mott Haven/Port Morris,"(40.8022025, -73.9166051)"
169,Mount Hope,"(41.4513121, -74.5346103)"
170,Murray Hill,"(40.7478792, -73.9756567)"
171,Murray Hill-Queens,"(40.7634996, -73.8073261)"
172,New Dorp/Midland Beach,"(40.5739937, -74.1159755)"
173,North Corona,"(40.7543725, -73.8669188)"
174,Norwood,"(44.7514452, -74.9943641)"
175,Oakland Gardens,"(40.7408584, -73.758241)"
176,Oakwood,"(40.563994, -74.1159754)"
177,Ocean Hill,"(40.6782737, -73.9108212)"
178,Ocean Parkway South,"(40.612878, -73.9683862)"
179,Old Astoria,"(40.7643574, -73.92346189999999)"
180,Ozone Park,"(40.6806669, -73.844659)"
181,Park Slope,"(40.6710672, -73.98142279999999)"
182,Parkchester,"(40.8382522, -73.8566087)"
183,Pelham Bay,"(40.8438486, -73.8304179)"
184,Pelham Bay Park,"(40.8667516, -73.81011029999999)"
185,Pelham Parkway,"(40.8553279, -73.8639594)"
186,Penn Station/Madison Sq West,"(40.750568, -73.993519)"
187,Port Richmond,"(40.6339267, -74.13606519999999)"
188,Prospect-Lefferts Gardens,"(40.6592355, -73.9533895)"
189,Prospect Heights,"(40.6774196, -73.9668408)"
190,Prospect Park,"(40.6724751, -73.970483)"
191,Queens Village,"(40.7282239, -73.7948516)"
192,Queensboro Hill,"(40.7445911, -73.8258135)"
193,Queensbridge/Ravenswood,"(40.7556711, -73.9456723)"
194,Randalls Island,"(40.7932271, -73.92128579999999)"
195,Red Hook,"(41.9950919, -73.87541139999999)"
196,Rego Park,"(40.72557219999999, -73.8624893)"
197,Richmond Hill,"(40.6999853, -73.8310309)"
198,Ridgewood,"(40.7043986, -73.9018292)"
199,Rikers Island,"(40.79312770000001, -73.88601)"
200,Riverdale/North Riverdale/Fieldston,"(40.9058718, -73.9040759)"
201,Rockaway Park,"(40.57978629999999, -73.8372237)"
202,Roosevelt Island,"(40.76050310000001, -73.9509934)"
203,Rosedale,"(40.6575584, -73.7330753)"
204,Rossville/Woodrow,"(40.5487897, -74.210783)"
205,Saint Albans,"(40.6895283, -73.76436880000001)"
206,Saint George/New Brighton,"(40.6404369, -74.090226)"
207,Saint Michaels Cemetery/Woodside,"(40.7646761, -73.89850419999999)"
208,Schuylerville/Edgewater Park,"(40.8235967, -73.81029269999999)"
209,Seaport,"(40.70722629999999, -74.0027431)"
210,Sheepshead Bay,"(40.5953955, -73.94575379999999)"
211,SoHo,"(40.7245908, -74.00191740000001)"
212,Soundview/Bruckner,"(40.8247728, -73.8695889)"
213,Soundview/Castle Hill,"(40.8176831, -73.8507279)"
214,South Beach/Dongan Hills,"(40.5906641, -74.088452)"
215,South Jamaica,"(40.6808594, -73.7919103)"
216,South Ozone Park,"(40.6764003, -73.8124984)"
217,South Williamsburg,"(40.7043921, -73.9565551)"
218,Springfield Gardens North,"(40.6715916, -73.779798)"
219,Springfield Gardens South,"(40.6715916, -73.779798)"
220,Spuyten Duyvil/Kingsbridge,"(40.88116369999999, -73.9154069)"
221,Stapleton,"(40.6264929, -74.07764139999999)"
222,Starrett City,"(40.6484272, -73.88236119999999)"
223,Steinway,"(40.7745459, -73.9037477)"
